Time,DPOS(0),MPOS(0),MSPEED(0),DRIVE_FE(0)
0.36,83.96865,83.96865,-0.00048,0.0
0.361,83.96865,83.96865,0.00048,0.0
0.362,83.96865,83.96865,0.0,0.0
0.363,83.96865,83.96865,-0.00048,0.0
0.364,83.96865,83.96865,0.00048,0.0
0.365,83.96865,83.96865,0.0,0.0
0.366,83.96865,83.96865,0.0,0.0
0.367,83.96865,83.96865,-0.00048,0.0
0.368,83.96865,83.96865,0.0,0.0
0.369,83.96865,83.96865,0.00048,0.0
0.37,83.96865,83.96865,0.00048,0.0
0.371,83.96865,83.96865,-0.00048,0.0
0.372,83.96865,83.96865,0.0,0.0
0.373,83.96865,83.96865,0.0,0.0
0.374,83.96865,83.96865,-0.00048,0.0
0.375,83.96865,83.96865,0.00095,0.0
0.376,83.96865,83.96865,-0.00048,0.0
0.377,83.96865,83.96865,-0.00048,0.0
0.378,83.96865,83.96865,0.0,0.0
0.379,83.96865,83.96865,0.0,0.0
0.38,83.96865,83.96865,0.00048,0.0
0.381,83.96865,83.96865,0.00048,0.0
0.382,83.96865,83.96865,-0.00048,0.0
0.383,83.96865,83.96865,0.0,0.0
0.384,83.96865,83.96865,0.0,0.0
0.385,83.96865,83.96865,0.0,0.0
0.386,83.96865,83.96865,0.0,0.0
0.387,83.96865,83.96865,-0.00095,0.0
0.388,83.96865,83.96865,0.00143,0.0
0.389,83.96865,83.96865,-0.00048,0.0
0.39,83.96865,83.96865,0.0,0.0
0.391,83.96865,83.96865,0.0,0.0
0.392,83.96865,83.96865,0.0,0.0
0.393,83.96865,83.96865,0.0,0.0
0.394,83.96865,83.96865,0.0,0.0
0.395,83.96865,83.96865,0.0,0.0
0.396,83.96865,83.96865,-0.00048,0.0
0.397,83.96865,83.96865,0.00048,0.0
0.398,83.96865,83.96865,0.00048,0.0
0.399,83.96865,83.96865,-0.00048,0.0
0.4,83.96865,83.96865,0.0,0.0
0.401,83.96865,83.96865,0.00048,0.0
0.402,83.96865,83.96865,0.0,0.0
0.403,83.96865,83.96865,0.0,0.0
0.404,83.96865,83.96865,-0.00048,0.0
0.405,83.96865,83.96865,-0.00048,0.0
0.406,83.96865,83.96865,0.00048,0.0
0.407,83.96865,83.96865,0.0,0.0
0.408,83.96865,83.96865,0.00048,0.0
0.409,83.96865,83.96865,0.00048,0.0
0.41,83.96865,83.96865,-0.00048,0.0
0.411,83.96865,83.96865,0.0,0.0
0.412,83.96865,83.96865,-0.00048,0.0
0.413,83.96865,83.96865,0.00095,0.0
0.414,83.96865,83.96865,-0.00048,0.0
0.415,83.96865,83.96865,0.0,0.0
0.416,83.96865,83.96865,0.0,0.0
0.417,83.96865,83.96865,-0.00048,0.0
0.418,83.96865,83.96865,0.0,0.0
0.419,83.96865,83.96865,0.0,0.0
0.42,83.96865,83.96865,0.0,0.0
0.421,83.96865,83.96865,-0.00048,0.0
0.422,83.96865,83.96865,0.00095,0.0
0.423,83.96865,83.96865,0.00048,0.0
0.424,83.96865,83.96865,-0.00048,0.0
0.425,83.96865,83.96865,0.0,0.0
0.426,83.96865,83.96865,0.0,0.0
0.427,83.96865,83.96865,-0.00048,0.0
0.428,83.96865,83.96865,0.0,0.0
0.429,83.96865,83.96865,-0.00048,0.0
0.43,83.96865,83.96865,0.00048,0.0
0.431,83.96865,83.96865,0.0,0.0
0.432,83.96865,83.96865,0.0,0.0
0.433,83.96865,83.96865,0.0,0.0
0.434,83.96865,83.96865,0.0,0.0
0.435,83.96865,83.96865,0.0,0.0
0.436,83.96865,83.96865,0.0,0.0
0.437,83.96865,83.96865,-0.00048,0.0
0.438,83.96865,83.96865,0.00048,0.0
0.439,83.96865,83.96865,-0.00048,0.0
0.44,83.96865,83.96865,0.00048,0.0
0.441,83.96865,83.96865,0.0,0.0
0.442,83.96865,83.96865,0.0,0.0
