Time,DRIVE_FE(0),MSPEED(0),DRIVE_CURRENT(0),DPOS(0)
2.78,-0.00278,-132.20119,-672.0,192.76886
2.79,0.03188,-135.52427,-605.0,191.46886
2.8,-0.00789,-125.36621,-782.0,190.16886
2.81,-0.00846,-130.71823,-679.0,188.86886
2.82,0.003,-130.12362,-687.0,187.56886
2.83,-0.02197,-127.00033,-762.0,186.26886
2.84,-0.01969,-132.57694,-696.0,184.96886
2.85,0.01155,-134.71365,-645.0,183.66886
2.86,-0.00972,-124.8951,-786.0,182.36886
2.87,-0.01664,-132.06434,-713.0,181.06886
2.88,0.0082,-133.76904,-647.0,179.76886
2.89,-0.00945,-125.46682,-779.0,178.46886
2.9,-0.01837,-131.94895,-729.0,177.16886
2.91,-0.00189,-131.8469,-696.0,175.86886
2.92,0.0048,-127.71797,-718.0,174.56886
2.93,-0.01702,-131.38914,-755.0,173.26886
2.94,0.00426,-131.13356,-699.0,171.96886
2.95,0.00272,-125.52786,-740.0,170.66886
2.96,-0.01941,-131.91509,-745.0,169.36886
2.97,0.00084,-133.21447,-681.0,168.06886
2.98,0.01205,-126.40429,-738.0,166.76886
2.99,-0.0232,-128.72505,-789.0,165.46886
3.0,-0.00735,-131.60801,-701.0,164.16886
3.01,-0.00118,-127.07138,-754.0,162.86886
3.02,-0.02269,-129.64964,-791.0,161.56886
3.03,-0.00912,-132.63416,-728.0,160.26886
3.04,0.01977,-131.59323,-682.0,158.96886
3.05,-0.00863,-126.05667,-808.0,157.66886
3.06,-0.00272,-130.77593,-741.0,156.36886
3.07,-0.00126,-130.24235,-744.0,155.06886
3.08,-0.01941,-127.49958,-808.0,153.76886
3.09,-0.0018,-133.85487,-705.0,152.46886
3.1,0.01699,-130.09262,-730.0,151.16886
3.11,-0.0119,-126.04094,-812.0,149.86886
3.12,-0.00688,-133.27932,-729.0,148.56886
3.13,0.00573,-130.08022,-746.0,147.26886
3.14,-0.0088,-126.23501,-812.0,145.96886
3.15,-0.01146,-133.76522,-759.0,144.66886
3.16,0.01472,-130.50795,-712.0,143.36886
3.17,-0.01067,-126.43719,-828.0,142.06886
3.18,-0.02473,-132.49063,-800.0,140.76886
3.19,-0.00389,-129.8995,-772.0,139.46886
3.2,-0.00486,-127.95019,-791.0,138.16886
3.21,-0.02195,-133.43525,-817.0,136.86886
3.22,0.00729,-130.81169,-770.0,135.56886
3.23,-0.00362,-127.11334,-821.0,134.26886
3.24,-0.02109,-131.7687,-824.0,132.96886
3.25,0.00797,-130.72586,-751.0,131.66886
3.26,0.00536,-128.80468,-805.0,130.36886
3.27,-0.02205,-129.66394,-860.0,129.06886
3.28,-0.01197,-128.58486,-817.0,127.76886
3.29,-0.00069,-131.21033,-787.0,126.46886
3.3,-0.01064,-130.28955,-845.0,125.16886
3.31,0.0019,-130.02729,-796.0,123.86886
3.32,0.00029,-128.50428,-817.0,122.56886
3.33,-0.01624,-129.65775,-865.0,121.26886
3.34,0.0075,-135.13327,-766.0,119.96886
3.35,-0.01097,-126.73092,-885.0,118.66886
3.36,-0.01804,-128.02219,-859.0,117.36886
3.37,-0.00915,-132.48396,-823.0,116.06886
3.38,0.02029,-129.1852,-780.0,114.76886
3.39,-0.00853,-128.87001,-868.0,113.46886
3.4,-0.00764,-129.92573,-833.0,112.16886
3.41,0.00493,-129.0226,-819.0,110.86886
3.42,-0.00833,-128.17049,-869.0,109.56886
3.43,-0.01203,-131.01673,-831.0,108.26886
3.44,0.00753,-132.45535,-779.0,106.96886
3.45,-0.00556,-128.24106,-878.0,105.66886
3.46,-0.00562,-130.87416,-844.0,104.36886
3.47,0.00602,-129.68302,-830.0,103.06886
3.48,-0.0011,-128.58391,-842.0,101.76886
3.49,-0.01565,-129.67205,-887.0,100.46886
3.5,-0.00052,-133.62932,-823.0,99.16886
3.51,-0.00939,-127.23541,-894.0,97.86886
3.52,-0.00835,-130.62954,-849.0,96.56886
3.53,-0.00104,-130.12409,-846.0,95.26886
3.54,-0.00178,-130.05781,-874.0,93.96886
3.55,-0.00527,-131.51121,-853.0,92.66886
3.56,0.00834,-132.83587,-807.0,91.36886
3.57,0.00525,-127.05183,-872.0,90.06886
3.58,-0.00318,-129.56715,-866.0,88.76886
3.59,-0.0025,-131.02674,-842.0,87.46886
3.6,0.00108,-129.77409,-849.0,86.16886
3.61,-0.00075,-129.47893,-854.0,84.86886
3.62,0.01138,-133.6751,-818.0,83.56886
3.63,0.00865,-127.83194,-856.0,82.26886
3.64,0.00662,-129.601,-814.0,80.96886
3.65,0.0021,-131.17504,-838.0,79.66886
3.66,0.00351,-128.95393,-855.0,78.36886
3.67,-0.00146,-130.08547,-847.0,77.06886
3.68,-0.00531,-131.71673,-839.0,75.76886
3.69,0.0074,-127.54107,-837.0,74.46886
3.7,-0.00019,-130.76258,-845.0,73.16886
3.71,-0.00566,-128.15189,-865.0,71.86886
3.72,-0.00064,-130.44214,-820.0,70.56886
3.73,-0.00135,-130.67436,-837.0,69.26886
3.74,-0.00487,-128.61109,-868.0,67.96886
3.75,0.01451,-129.36401,-821.0,66.66886
3.76,0.01237,-131.97327,-807.0,65.36886
3.77,0.01135,-128.15857,-834.0,64.06886
3.78,0.00906,-129.46272,-837.0,62.76886
3.79,-0.00407,-130.63526,-847.0,61.46886
3.8,-0.001,-127.21968,-848.0,60.16886
3.81,0.01459,-132.99942,-777.0,58.86886
3.82,0.00654,-132.50637,-830.0,57.56886
3.83,0.01358,-126.21546,-826.0,56.27337
3.84,0.07323,-98.49501,-176.0,55.29992
3.85,0.07668,-19.45496,-122.0,55.00275
3.86,0.15823,-11.85942,-209.0,55.05717
3.87,0.41953,53.81727,832.0,55.65217
3.88,0.5269,110.68583,857.0,56.85114
3.89,0.58716,115.52048,558.0,58.15114
3.9,0.66713,138.09109,835.0,59.45114
3.91,0.58115,146.97981,804.0,60.75114
3.92,0.4017,141.50333,678.0,62.05114
3.93,0.32057,140.59877,806.0,63.35114
3.94,0.22429,137.49838,761.0,64.65114
3.95,0.0918,130.21898,603.0,65.95114
3.96,0.08535,137.56704,747.0,67.25114
3.97,0.0146,141.6316,595.0,68.55114
3.98,-0.04321,122.97869,609.0,69.85114
3.99,-0.0294,131.2356,605.0,71.15114
4.0,-0.04704,130.81026,564.0,72.45114
4.01,-0.04475,125.79107,609.0,73.75114
4.02,0.01207,122.54667,746.0,75.05114
4.03,0.03468,131.23655,673.0,76.35114
4.04,0.01025,125.78392,655.0,77.65114
4.05,0.04594,127.96021,763.0,78.95114
4.06,0.0518,133.80861,738.0,80.25114
4.07,0.02028,128.82614,701.0,81.55114
4.08,0.04306,127.6083,787.0,82.85114
4.09,0.02972,137.87699,695.0,84.15114
4.1,-0.03251,132.85589,605.0,85.45114
4.11,0.01622,127.68459,836.0,86.75114
4.12,0.02323,131.09732,739.0,88.05114
4.13,-0.01982,131.15788,640.0,89.35114
4.14,0.00936,126.11246,797.0,90.65114
4.15,0.02516,135.19955,749.0,91.95114
4.16,-0.04391,135.11705,589.0,93.25114
4.17,-0.01145,125.92077,767.0,94.55114
