Time,DPOS(0),MSPEED(0),DRIVE_FE(0),DEMAND_SPEED(0),DEMAND_SPEED_NORMALISED(0)
0.199,-582422455.0,0.0,0.0,0.0,0.0
0.2,-582422455.0,0.0,0.0,0.0,0.0
0.201,-582422456.0,-1000.0,0.0,-1.0,-1000.0
0.202,-582422455.0,1000.0,0.0,1.0,1000.0
0.203,-582422456.0,-1000.0,0.0,-1.0,-1000.0
0.204,-582422455.0,1000.0,0.0,1.0,1000.0
0.205,-582422455.0,0.0,0.0,0.0,0.0
0.206,-582422455.0,0.0,0.0,0.0,0.0
0.207,-582422456.0,-1000.0,0.0,-1.0,-1000.0
0.208,-582422454.0,2000.0,0.0,2.0,2000.0
0.209,-582422455.0,-1000.0,0.0,-1.0,-1000.0
0.21,-582422456.0,-1000.0,0.0,-1.0,-1000.0
0.211,-582422456.0,0.0,0.0,0.0,0.0
0.212,-582422455.0,1000.0,0.0,1.0,1000.0
0.213,-582422455.0,0.0,0.0,0.0,0.0
0.214,-582422453.0,2000.0,0.0,2.0,2000.0
0.215,-582422454.0,-1000.0,0.0,-1.0,-1000.0
0.216,-582422455.0,-1000.0,0.0,-1.0,-1000.0
0.217,-582422454.0,1000.0,0.0,1.0,1000.0
0.218,-582422455.0,-1000.0,0.0,-1.0,-1000.0
0.219,-582422454.0,1000.0,0.0,1.0,1000.0
0.22,-582422455.0,-1000.0,0.0,-1.0,-1000.0
0.221,-582422455.0,0.0,0.0,0.0,0.0
0.222,-582422456.0,-1000.0,0.0,-1.0,-1000.0
0.223,-582422455.0,1000.0,0.0,1.0,1000.0
0.224,-582422456.0,-1000.0,0.0,-1.0,-1000.0
0.225,-582422456.0,0.0,0.0,0.0,0.0
0.226,-582422457.0,-1000.0,0.0,-1.0,-1000.0
0.227,-582422455.0,2000.0,0.0,2.0,2000.0
0.228,-582422455.0,0.0,0.0,0.0,0.0
0.229,-582422455.0,0.0,0.0,0.0,0.0
0.23,-582422455.0,0.0,0.0,0.0,0.0
0.231,-582422455.0,0.0,0.0,0.0,0.0
0.232,-582422455.0,0.0,0.0,0.0,0.0
0.233,-582422455.0,0.0,0.0,0.0,0.0
0.234,-582422455.0,0.0,0.0,0.0,0.0
0.235,-582422454.0,1000.0,0.0,1.0,1000.0
0.236,-582422455.0,-1000.0,0.0,-1.0,-1000.0
0.237,-582422455.0,0.0,0.0,0.0,0.0
0.238,-582422456.0,-1000.0,0.0,-1.0,-1000.0
0.239,-582422456.0,0.0,0.0,0.0,0.0
0.24,-582422455.0,1000.0,0.0,1.0,1000.0
0.241,-582422455.0,0.0,0.0,0.0,0.0
0.242,-582422456.0,-1000.0,0.0,-1.0,-1000.0
0.243,-582422455.0,1000.0,0.0,1.0,1000.0
0.244,-582422455.0,0.0,0.0,0.0,0.0
0.245,-582422456.0,-1000.0,0.0,-1.0,-1000.0
0.246,-582422455.0,1000.0,0.0,1.0,1000.0
