Time,MPOS(0),DPOS(0),DRIVE_FE(0),MSPEEDF(0)
0.171,184.96929,184.96929,1.90735e-06,0.00143
0.172,184.96929,184.96929,0.0,0.00095
0.173,184.96929,184.96929,8.58307e-06,-0.00381
0.174,184.96929,184.96929,2.38419e-06,0.00095
0.175,184.9693,184.96929,-6.67572e-06,0.01192
0.176,184.96929,184.96929,9.05991e-06,-0.01669
0.177,184.9693,184.96929,-7.62939e-06,0.01431
0.178,184.96929,184.96929,1.90735e-06,-0.00954
0.179,184.96929,184.96929,3.33786e-06,0.00143
0.18,184.96928,184.96929,8.58307e-06,-0.00763
0.181,184.96928,184.96929,1.71661e-05,-0.00572
0.182,184.9693,184.96929,9.53674e-07,0.01717
0.183,184.96929,184.96929,3.33786e-06,-0.00525
0.184,184.9693,184.96929,-1.09673e-05,0.01335
0.185,184.96929,184.96929,3.8147e-06,-0.01431
0.186,184.96929,184.96929,4.76837e-07,0.00381
0.187,184.96928,184.96929,1.04904e-05,-0.00954
0.188,184.9693,184.96929,-1.43051e-06,0.01335
0.189,184.9693,184.96929,-2.86102e-06,-0.00095
0.19,184.96929,184.96929,5.72205e-06,-0.00858
0.191,184.96929,184.96929,2.86102e-06,0.00191
0.192,184.96928,184.96929,1.52588e-05,-0.01097
0.193,184.96929,184.96929,8.58307e-06,0.00715
0.194,184.9693,184.96929,-6.67572e-06,0.01431
0.195,184.96929,184.96929,8.10623e-06,-0.01431
0.196,184.96929,184.96929,0.0,0.00906
0.197,184.96929,184.96929,4.29153e-06,-0.00668
0.198,184.96929,184.96929,3.8147e-06,0.00429
0.199,184.96929,184.96929,3.8147e-06,-0.00191
0.2,184.96929,184.96929,9.05991e-06,-0.00429
0.201,184.9693,184.96929,-1.90735e-06,0.01001
0.202,184.96928,184.96929,1.04904e-05,-0.0124
0.203,184.96929,184.96929,3.33786e-06,0.00668
0.204,184.96929,184.96929,-4.76837e-07,0.00381
0.205,184.96929,184.96929,7.15256e-06,-0.00525
0.206,184.96929,184.96929,-9.53674e-07,0.00429
0.207,184.96929,184.96929,5.24521e-06,-0.00429
