Time,DRIVE_CURRENT(0),MSPEED(0),DRIVE_FE(0),DPOS(0)
0.232,3.0,0.00095,0.0,162.40646
0.233,10.0,-0.00095,0.0,162.40645
0.234,5.0,0.00048,0.0,162.40646
0.235,5.0,0.0,0.0,162.40646
0.236,1.0,0.0,0.0,162.40646
0.237,7.0,-0.00048,0.0,162.40645
0.238,8.0,0.00048,0.0,162.40646
0.239,3.0,0.0,0.0,162.40646
0.24,1.0,0.0,0.0,162.40646
0.241,3.0,0.00048,0.0,162.40646
0.242,7.0,-0.00095,0.0,162.40645
0.243,4.0,0.0,0.0,162.40645
0.244,3.0,0.0,0.0,162.40645
0.245,2.0,0.0,0.0,162.40645
0.246,4.0,0.00048,0.0,162.40646
0.247,11.0,-0.00095,0.0,162.40645
0.248,1.0,0.00095,0.0,162.40646
0.249,6.0,0.00048,0.0,162.40646
0.25,3.0,-0.00095,0.0,162.40645
0.251,7.0,0.0,0.0,162.40645
0.252,8.0,0.00048,0.0,162.40646
0.253,2.0,0.0,0.0,162.40646
0.254,0.0,-0.00048,0.0,162.40645
0.255,8.0,0.0,0.0,162.40645
0.256,0.0,0.0,0.0,162.40645
0.257,4.0,-0.00048,0.0,162.40645
0.258,3.0,0.00143,0.0,162.40646
0.259,0.0,-0.00095,0.0,162.40645
0.26,10.0,-0.00048,0.0,162.40645
0.261,3.0,0.00048,0.0,162.40645
0.262,7.0,0.0,0.0,162.40645
0.263,1.0,0.0,0.0,162.40645
0.264,12.0,0.00048,0.0,162.40646
0.265,0.0,0.00048,0.0,162.40646
0.266,5.0,-0.00048,0.0,162.40646
0.267,5.0,-0.00048,0.0,162.40645
0.268,9.0,0.00048,0.0,162.40646
0.269,-2.0,0.0,0.0,162.40646
0.27,5.0,-0.00048,0.0,162.40645
0.271,4.0,0.00048,0.0,162.40646
0.272,0.0,-0.00048,0.0,162.40645
0.273,1.0,0.0,0.0,162.40645
0.274,3.0,0.0,0.0,162.40645
0.275,11.0,0.00048,0.0,162.40646
0.276,-4.0,0.0,0.0,162.40646
0.277,10.0,0.0,0.0,162.40646
0.278,8.0,0.00048,0.0,162.40646
0.279,10.0,-0.00048,0.0,162.40646
0.28,3.0,0.00048,0.0,162.40646
0.281,3.0,0.0,0.0,162.40646
0.282,0.0,-0.00048,0.0,162.40646
0.283,10.0,0.00048,0.0,162.40646
0.284,0.0,-0.00048,0.0,162.40646
0.285,11.0,0.00048,0.0,162.40646
0.286,2.0,-0.00048,0.0,162.40646
0.287,3.0,0.0,0.0,162.40646
0.288,3.0,0.0,0.0,162.40646
0.289,6.0,0.0,0.0,162.40646
0.29,-2.0,0.0,0.0,162.40646
0.291,6.0,0.0,0.0,162.40646
0.292,4.0,0.0,0.0,162.40646
0.293,-2.0,0.00048,0.0,162.40646
0.294,4.0,-0.00048,0.0,162.40646
0.295,13.0,0.00048,0.0,162.40646
0.296,6.0,-0.00095,0.0,162.40645
0.297,6.0,0.0,0.0,162.40645
0.298,0.0,0.0,0.0,162.40645
0.299,1.0,0.00143,0.0,162.40646
0.3,5.0,-0.00095,0.0,162.40646
0.301,0.0,0.00048,0.0,162.40646
0.302,4.0,0.0,0.0,162.40646
0.303,2.0,0.0,0.0,162.40646
0.304,-1.0,-0.00095,0.0,162.40645
0.305,-2.0,0.0,0.0,162.40645
0.306,0.0,0.00048,0.0,162.40646
0.307,11.0,0.0,0.0,162.40646
0.308,8.0,0.00048,0.0,162.40646
0.309,3.0,0.0,0.0,162.40646
0.31,8.0,0.00048,0.0,162.40646
0.311,4.0,-0.00095,0.0,162.40646
0.312,7.0,0.0,0.0,162.40646
0.313,0.0,0.0,0.0,162.40646
0.314,4.0,0.00048,0.0,162.40646
0.315,-2.0,-0.00095,0.0,162.40645
0.316,2.0,0.00143,0.0,162.40646
0.317,2.0,-0.00095,0.0,162.40646
0.318,1.0,0.0,0.0,162.40646
0.319,8.0,0.00048,0.0,162.40646
0.32,7.0,0.0,0.0,162.40646
0.321,5.0,0.0,0.0,162.40646
0.322,10.0,-0.00048,0.0,162.40646
0.323,4.0,0.0,0.0,162.40646
0.324,4.0,0.00048,0.0,162.40646
0.325,8.0,-0.00048,0.0,162.40646
0.326,3.0,0.0,0.0,162.40646
0.327,2.0,0.00048,0.0,162.40646
0.328,4.0,0.0,0.0,162.40646
0.329,-2.0,0.00048,0.0,162.40646
0.33,2.0,-0.00048,0.0,162.40646
0.331,4.0,0.0,0.0,162.40646
0.332,8.0,-0.00048,0.0,162.40646
0.333,12.0,0.00048,0.0,162.40646
0.334,10.0,0.0,0.0,162.40646
0.335,1.0,-0.00048,0.0,162.40646
0.336,7.0,0.0,0.0,162.40646
0.337,0.0,0.00048,0.0,162.40646
0.338,2.0,0.00048,0.0,162.40646
0.339,0.0,-0.00048,0.0,162.40646
0.34,-4.0,-0.00048,0.0,162.40646
0.341,4.0,0.0,0.0,162.40646
0.342,6.0,0.00048,0.0,162.40646
0.343,6.0,-0.00048,0.0,162.40646
0.344,4.0,0.0,0.0,162.40646
0.345,4.0,0.0,0.0,162.40646
0.346,7.0,-0.00048,0.0,162.40645
0.347,1.0,0.00095,0.0,162.40646
0.348,6.0,-0.00048,0.0,162.40646
0.349,9.0,0.0,0.0,162.40646
0.35,7.0,0.00048,0.0,162.40646
0.351,1.0,-0.00048,0.0,162.40646
0.352,7.0,0.00048,0.0,162.40646
0.353,7.0,-0.00095,0.0,162.40645
0.354,2.0,0.00095,0.0,162.40646
0.355,0.0,0.0,0.0,162.40646
0.356,0.0,-0.00048,0.0,162.40646
0.357,3.0,0.00048,0.0,162.40646
0.358,4.0,0.0,0.0,162.40646
0.359,11.0,0.0,0.0,162.40646
